class,precision,recall,f1,mAP50,mAP50_95
Hardhat,0.2034,0.7778,0.3225,0.5653,0.4401
Gloves,0.6883,0.35,0.464,0.3516,0.1746
Mask,1.0,0.5408,0.702,0.6008,0.4232
NO-Hardhat,0.7739,1.0,0.8725,0.995,0.7198
NO-Mask,0.9779,0.7143,0.8256,0.7436,0.4719
NO-Safety Vest,0.7461,0.5019,0.6001,0.4667,0.2501
Person,0.8868,0.5443,0.6746,0.5989,0.2307
Safety Cone,0.8663,0.3444,0.4929,0.4599,0.2718
Safety Vest,0.9276,0.4885,0.64,0.6165,0.3994
Ladder,0.0,0.0,0.0,0.0,0.0
Excavator,0.0,0.0,0.0,0.0,0.0
machinery,0.0,0.0,0.0,0.0,0.0
Overall,0.7856,0.5847,0.6704,0.5998,0.3757
