class,precision,recall,f1,mAP50,mAP50_95
Hardhat,0.1275,0.6667,0.2141,0.4056,0.34
Gloves,0.5029,0.2784,0.3584,0.2657,0.1026
Mask,0.9624,0.465,0.627,0.607,0.3811
NO-Hardhat,0.5636,1.0,0.7209,0.92,0.7153
NO-Mask,0.9085,0.7094,0.7967,0.7099,0.4892
NO-Safety Vest,0.7261,0.5174,0.6042,0.4609,0.2369
Person,0.8694,0.443,0.587,0.4905,0.1805
Safety Cone,0.8452,0.3034,0.4465,0.38,0.1982
Safety Vest,0.8263,0.4921,0.6168,0.5558,0.3421
Ladder,0.0,0.0,0.0,0.0,0.0
Excavator,0.0,0.0,0.0,0.0,0.0
machinery,0.0,0.0,0.0,0.0,0.0
Overall,0.7035,0.5417,0.6121,0.5328,0.3318
