epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,127.29,1.10913,1.15045,0.40262,0.58194,0.09807,0.02163,0.01038,0.7249,0.99764,0.20273,0.000165799,0.000165799,0.0670061
2,239.998,0.7508,0.94216,0.20973,0.26269,0.31208,0.11034,0.06089,0.55164,1.07453,0.15068,0.000325882,0.000325882,0.0338328
3,353.014,0.71583,0.79439,0.19087,0.49242,0.33114,0.26892,0.14265,0.57673,0.88394,0.17101,0.000479366,0.000479366,0.000652977
4,465.554,0.66736,0.67369,0.19375,0.53787,0.43416,0.4011,0.22051,0.53035,0.62318,0.1344,0.0004703,0.0004703,0.0004703
5,578.455,0.62268,0.6396,0.17285,0.70111,0.44125,0.44966,0.26022,0.50598,0.56013,0.13028,0.0004604,0.0004604,0.0004604
6,692.07,0.59793,0.60927,0.16022,0.67103,0.45464,0.45449,0.25501,0.49531,0.56596,0.12794,0.0004505,0.0004505,0.0004505
7,805.21,0.5793,0.57468,0.15225,0.65601,0.51917,0.4969,0.29054,0.48236,0.54672,0.11639,0.0004406,0.0004406,0.0004406
8,918.146,0.56646,0.56055,0.14556,0.71229,0.51893,0.53415,0.29985,0.49928,0.53573,0.12565,0.0004307,0.0004307,0.0004307
9,1032.04,0.55527,0.55028,0.14186,0.7045,0.54662,0.53571,0.31252,0.49515,0.53214,0.12592,0.0004208,0.0004208,0.0004208
10,1145.13,0.5506,0.53805,0.14176,0.78005,0.54087,0.56442,0.31626,0.49726,0.51705,0.12635,0.0004109,0.0004109,0.0004109
11,1258.06,0.53526,0.5271,0.1339,0.78179,0.54804,0.56675,0.33556,0.47424,0.50893,0.11848,0.000401,0.000401,0.000401
12,1371.44,0.53752,0.5211,0.1339,0.75896,0.56705,0.58019,0.34034,0.46849,0.50912,0.11249,0.0003911,0.0003911,0.0003911
13,1484.16,0.52525,0.51391,0.13142,0.80119,0.50928,0.51807,0.31145,0.47804,0.53102,0.11888,0.0003812,0.0003812,0.0003812
14,1596.94,0.52272,0.50216,0.12801,0.75136,0.55442,0.55965,0.32471,0.46532,0.51331,0.11242,0.0003713,0.0003713,0.0003713
15,1709.81,0.51545,0.49747,0.12695,0.76373,0.56618,0.57711,0.35065,0.46044,0.48389,0.11045,0.0003614,0.0003614,0.0003614
16,1822.75,0.50702,0.48542,0.12273,0.83551,0.55696,0.59186,0.35245,0.47015,0.48871,0.11578,0.0003515,0.0003515,0.0003515
17,1936.18,0.50395,0.47987,0.12143,0.80913,0.54502,0.57425,0.3467,0.4745,0.49466,0.11989,0.0003416,0.0003416,0.0003416
18,2049.2,0.49427,0.46829,0.11618,0.79628,0.56862,0.59003,0.34529,0.48408,0.49552,0.11831,0.0003317,0.0003317,0.0003317
19,2161.59,0.48838,0.46387,0.11498,0.76765,0.56973,0.59742,0.36145,0.46927,0.49084,0.11228,0.0003218,0.0003218,0.0003218
20,2274.22,0.48408,0.4631,0.11495,0.75384,0.5997,0.61183,0.3602,0.46691,0.48026,0.11173,0.0003119,0.0003119,0.0003119
21,2387.17,0.47841,0.45911,0.11022,0.79304,0.57397,0.60153,0.35927,0.46122,0.48618,0.10769,0.000302,0.000302,0.000302
22,2499.65,0.47935,0.45802,0.11099,0.81023,0.57932,0.60412,0.36228,0.46443,0.48441,0.11171,0.0002921,0.0002921,0.0002921
23,2612.48,0.47488,0.44981,0.10845,0.81272,0.56635,0.59397,0.35857,0.45759,0.48739,0.11334,0.0002822,0.0002822,0.0002822
24,2725.37,0.47057,0.44202,0.10627,0.77969,0.57978,0.59072,0.3579,0.46388,0.47986,0.11388,0.0002723,0.0002723,0.0002723
25,2838.3,0.45874,0.44161,0.10561,0.7927,0.5778,0.60188,0.37078,0.45617,0.47849,0.10991,0.0002624,0.0002624,0.0002624
26,2951.45,0.46338,0.44118,0.10424,0.77785,0.5723,0.58244,0.36056,0.46192,0.48163,0.11403,0.0002525,0.0002525,0.0002525
27,3063.99,0.45465,0.43361,0.10157,0.81825,0.57249,0.5944,0.35662,0.47086,0.47668,0.11593,0.0002426,0.0002426,0.0002426
28,3176.64,0.44791,0.42942,0.10101,0.81763,0.58294,0.60426,0.36565,0.46142,0.48451,0.11132,0.0002327,0.0002327,0.0002327
29,3289.91,0.45062,0.42726,0.0991,0.80567,0.57675,0.59765,0.36725,0.46156,0.47443,0.11114,0.0002228,0.0002228,0.0002228
30,3403.09,0.44161,0.42723,0.09714,0.80087,0.58433,0.59463,0.36085,0.45947,0.47975,0.10821,0.0002129,0.0002129,0.0002129
31,3516.45,0.43722,0.42245,0.09914,0.8045,0.55181,0.58516,0.35908,0.46501,0.48904,0.10862,0.000203,0.000203,0.000203
32,3629.53,0.43098,0.41877,0.09502,0.80763,0.58503,0.60078,0.36612,0.46314,0.49117,0.10896,0.0001931,0.0001931,0.0001931
33,3742.47,0.43072,0.4198,0.09493,0.81277,0.57982,0.59219,0.35685,0.46642,0.48632,0.11267,0.0001832,0.0001832,0.0001832
34,3855.34,0.42787,0.41239,0.09176,0.78795,0.61182,0.60389,0.3695,0.46582,0.48658,0.11162,0.0001733,0.0001733,0.0001733
35,3968.4,0.42711,0.40825,0.08998,0.78879,0.59442,0.59786,0.36112,0.46354,0.4877,0.11202,0.0001634,0.0001634,0.0001634
36,4080.97,0.42093,0.40568,0.09144,0.76081,0.60522,0.59343,0.35954,0.46189,0.49254,0.11015,0.0001535,0.0001535,0.0001535
37,4192.95,0.41443,0.40412,0.08917,0.79604,0.58181,0.58815,0.35669,0.46861,0.48706,0.11451,0.0001436,0.0001436,0.0001436
38,4305.85,0.41024,0.40147,0.08692,0.77353,0.58994,0.59287,0.36308,0.47007,0.48748,0.11408,0.0001337,0.0001337,0.0001337
39,4418.91,0.4133,0.39845,0.08541,0.7623,0.60598,0.59968,0.37163,0.46692,0.48406,0.11137,0.0001238,0.0001238,0.0001238
40,4532.69,0.40323,0.39617,0.08613,0.78678,0.59699,0.59924,0.37269,0.4664,0.49168,0.11132,0.0001139,0.0001139,0.0001139
41,4646.05,0.37713,0.37169,0.08111,0.78801,0.5975,0.59437,0.36079,0.4689,0.49551,0.11252,0.000104,0.000104,0.000104
42,4756.27,0.37377,0.36907,0.07873,0.79097,0.5973,0.60068,0.36357,0.46926,0.49416,0.11567,9.41e-05,9.41e-05,9.41e-05
43,4865.73,0.36897,0.36643,0.07662,0.80141,0.58497,0.59462,0.36381,0.46461,0.50124,0.11064,8.42e-05,8.42e-05,8.42e-05
44,4974.98,0.36464,0.36361,0.07642,0.80586,0.59149,0.60559,0.36961,0.46529,0.49707,0.11134,7.43e-05,7.43e-05,7.43e-05
45,5084.52,0.36206,0.36143,0.07475,0.80457,0.58979,0.59592,0.36775,0.46524,0.49769,0.11123,6.44e-05,6.44e-05,6.44e-05
46,5194.65,0.35767,0.35911,0.07313,0.79913,0.59304,0.59059,0.35857,0.46762,0.50269,0.11114,5.45e-05,5.45e-05,5.45e-05
47,5305.63,0.35221,0.35418,0.07159,0.79865,0.60046,0.59551,0.36574,0.46728,0.50506,0.11249,4.46e-05,4.46e-05,4.46e-05
48,5415.71,0.34881,0.35305,0.07095,0.78882,0.60051,0.59094,0.36377,0.4679,0.5062,0.11105,3.47e-05,3.47e-05,3.47e-05
49,5525.09,0.34847,0.35229,0.07,0.79322,0.59614,0.58897,0.36224,0.46924,0.50615,0.11325,2.48e-05,2.48e-05,2.48e-05
50,5634.39,0.34743,0.3501,0.06901,0.81025,0.58962,0.58887,0.36113,0.46952,0.50453,0.1123,1.49e-05,1.49e-05,1.49e-05
