epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.441,1.54127,1.66642,1.37914,0.40052,0.35114,0.30702,0.1629,1.47398,1.30812,1.2758,0.000332899,0.000332899,0.067043
2,502.828,1.55004,1.53193,1.39308,0.70276,0.38472,0.41611,0.24042,1.3888,1.05714,1.22546,0.000653041,0.000653041,0.0340298
3,749.337,1.52934,1.44784,1.36624,0.58746,0.4093,0.44319,0.24768,1.41632,0.96769,1.2397,0.000959983,0.000959983,0.00100339
4,994.838,1.48488,1.34727,1.3365,0.60879,0.4653,0.48688,0.26593,1.40361,0.90096,1.21078,0.0009406,0.0009406,0.0009406
5,1240.43,1.45257,1.25499,1.31724,0.68218,0.46734,0.48864,0.27513,1.36816,0.87201,1.18774,0.0009208,0.0009208,0.0009208
6,1486.1,1.41985,1.19075,1.29571,0.73729,0.46345,0.51868,0.2938,1.35262,0.83651,1.18491,0.000901,0.000901,0.000901
7,1732.18,1.40686,1.14555,1.28221,0.666,0.4976,0.50769,0.28239,1.36657,0.83851,1.19182,0.0008812,0.0008812,0.0008812
8,1976.95,1.38454,1.09111,1.26302,0.74419,0.52401,0.55014,0.30958,1.3394,0.78178,1.16919,0.0008614,0.0008614,0.0008614
9,2222.49,1.36992,1.05632,1.25755,0.74381,0.50744,0.53741,0.30669,1.34577,0.79975,1.16984,0.0008416,0.0008416,0.0008416
10,2467.24,1.35501,1.01316,1.24838,0.77941,0.48936,0.53081,0.30048,1.33652,0.81875,1.16101,0.0008218,0.0008218,0.0008218
11,2712.06,1.3362,0.98085,1.23659,0.75868,0.49699,0.51976,0.30081,1.34222,0.81009,1.16931,0.000802,0.000802,0.000802
12,2957.04,1.32332,0.94397,1.22198,0.82783,0.50019,0.5515,0.31692,1.31355,0.76317,1.15277,0.0007822,0.0007822,0.0007822
13,3202.5,1.31849,0.94299,1.22589,0.80066,0.5064,0.544,0.3247,1.33407,0.78502,1.16706,0.0007624,0.0007624,0.0007624
14,3447.59,1.30947,0.91979,1.21748,0.8517,0.51076,0.5556,0.32765,1.31637,0.76249,1.15157,0.0007426,0.0007426,0.0007426
15,3693.02,1.29522,0.88798,1.20576,0.77769,0.53138,0.56549,0.3289,1.30342,0.74196,1.15015,0.0007228,0.0007228,0.0007228
16,3938.49,1.28517,0.88134,1.20742,0.79344,0.52094,0.56875,0.33728,1.31979,0.73791,1.14825,0.000703,0.000703,0.000703
17,4183.85,1.27555,0.86615,1.19688,0.75477,0.5306,0.55327,0.32164,1.30303,0.74162,1.15435,0.0006832,0.0006832,0.0006832
18,4429.12,1.26412,0.84037,1.18609,0.80722,0.52761,0.56594,0.34274,1.27325,0.73104,1.13594,0.0006634,0.0006634,0.0006634
19,4675.09,1.24418,0.82989,1.18443,0.81973,0.50666,0.55416,0.33708,1.28706,0.72456,1.14479,0.0006436,0.0006436,0.0006436
20,4920.55,1.24004,0.80401,1.1782,0.80519,0.49077,0.52596,0.32612,1.23384,0.75441,1.12476,0.0006238,0.0006238,0.0006238
21,5165.72,1.22465,0.79307,1.1707,0.77002,0.50775,0.54546,0.34024,1.23562,0.71301,1.12149,0.000604,0.000604,0.000604
22,5411.01,1.22153,0.77936,1.16699,0.80142,0.50839,0.5648,0.34444,1.22814,0.70794,1.11963,0.0005842,0.0005842,0.0005842
