class,precision,recall,f1,mAP50,mAP50_95
Hardhat,0.9118,0.6667,0.7702,0.7513,0.603
Mask,0.7769,0.2,0.3181,0.3028,0.1362
NO-Hardhat,0.9595,0.6454,0.7717,0.7947,0.4802
NO-Mask,0.9157,1.0,0.956,0.995,0.8504
NO-Safety Vest,0.9496,0.75,0.8381,0.745,0.4979
Person,0.6818,0.4878,0.5687,0.4815,0.2518
Safety Cone,0.8388,0.5063,0.6315,0.5524,0.1902
Safety Vest,0.8697,0.5222,0.6526,0.5791,0.3118
machinery,0.9104,0.6425,0.7534,0.7183,0.4378
vehicle,0.0,0.0,0.0,0.0,0.0
Overall,0.8682,0.6023,0.7112,0.6578,0.4177
