epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,145.558,1.51599,0.79965,1.07812,0.00054,0.06805,0.00263,0.00061,1.35123,0.74899,0.95758,0.000332593,0.000332593,0.0670733
2,274.647,1.33697,0.67925,0.86258,0.22531,0.11965,0.00427,0.00093,1.28895,0.87474,0.90484,0.000652741,0.000652741,0.0340601
3,402.876,1.16715,0.83374,0.69291,0.69008,0.05739,0.0292,0.00899,1.08833,1.0394,0.61474,0.000959689,0.000959689,0.00103376
4,530.823,1.10509,0.88857,0.59846,0.37275,0.15096,0.05862,0.02444,0.94011,1.10382,0.46715,0.0009406,0.0009406,0.0009406
5,658.814,1.02671,0.9356,0.53633,0.2728,0.2051,0.05294,0.02422,0.89415,1.2344,0.43737,0.0009208,0.0009208,0.0009208
6,786.758,0.98077,0.967,0.51863,0.30451,0.20042,0.09344,0.03656,0.87432,1.12383,0.3971,0.000901,0.000901,0.000901
7,916.275,0.91817,1.00629,0.47238,0.41834,0.21442,0.0818,0.03896,0.81268,1.2415,0.37367,0.0008812,0.0008812,0.0008812
8,1045.94,0.84848,0.99659,0.42119,0.20215,0.24638,0.11231,0.05659,0.81054,1.14703,0.37695,0.0008614,0.0008614,0.0008614
9,1174.99,0.83931,1.00365,0.41569,0.43378,0.24191,0.10764,0.05695,0.77322,1.1219,0.35132,0.0008416,0.0008416,0.0008416
10,1304.64,0.81641,1.00084,0.39896,0.32979,0.31918,0.12536,0.06055,0.735,1.11668,0.33973,0.0008218,0.0008218,0.0008218
11,1433.95,0.79538,1.00746,0.39053,0.34108,0.27173,0.11489,0.0656,0.6962,1.08957,0.29745,0.000802,0.000802,0.000802
12,1562.45,0.78282,1.0077,0.37368,0.26403,0.29798,0.13904,0.06643,0.72135,1.02007,0.31929,0.0007822,0.0007822,0.0007822
13,1691.5,0.77935,0.96771,0.36285,0.36203,0.27697,0.12715,0.07443,0.71571,1.10029,0.31237,0.0007624,0.0007624,0.0007624
14,1820.39,0.74186,0.97048,0.35404,0.26111,0.31118,0.14573,0.08505,0.71819,1.01,0.31125,0.0007426,0.0007426,0.0007426
15,1950.33,0.75024,0.94017,0.34136,0.28845,0.34586,0.16165,0.08454,0.70248,1.00224,0.3105,0.0007228,0.0007228,0.0007228
16,2078.41,0.72198,0.9631,0.3425,0.37213,0.27731,0.18158,0.09971,0.72556,1.01281,0.3195,0.000703,0.000703,0.000703
17,2207.44,0.72559,0.93222,0.34419,0.39832,0.30799,0.25831,0.1409,0.72898,0.96296,0.31972,0.0006832,0.0006832,0.0006832
18,2337,0.71258,0.93416,0.32355,0.42956,0.28321,0.30209,0.17425,0.66822,0.9032,0.30558,0.0006634,0.0006634,0.0006634
19,2465.82,0.70348,0.89909,0.33115,0.44284,0.31342,0.29333,0.16976,0.69659,0.85604,0.33124,0.0006436,0.0006436,0.0006436
20,2594.02,0.69511,0.89975,0.32124,0.65835,0.33325,0.35217,0.19207,0.6961,0.87051,0.31251,0.0006238,0.0006238,0.0006238
21,2723.1,0.69364,0.8866,0.31326,0.62438,0.32246,0.3325,0.19578,0.69515,0.83084,0.30601,0.000604,0.000604,0.000604
22,2851.85,0.66934,0.8577,0.30494,0.63874,0.32413,0.35409,0.18847,0.74454,0.85994,0.33,0.0005842,0.0005842,0.0005842
23,2980.35,0.66093,0.84631,0.29727,0.709,0.29819,0.35185,0.20243,0.68417,0.83016,0.3096,0.0005644,0.0005644,0.0005644
24,3109.52,0.67995,0.83012,0.30407,0.74026,0.32683,0.41306,0.22086,0.71755,0.75936,0.34241,0.0005446,0.0005446,0.0005446
25,3238.92,0.65585,0.8351,0.29624,0.68767,0.31753,0.38047,0.22302,0.69142,0.8071,0.30782,0.0005248,0.0005248,0.0005248
26,3368.35,0.64043,0.81216,0.29018,0.50083,0.40339,0.40948,0.22597,0.7066,0.80171,0.30598,0.000505,0.000505,0.000505
27,3497.62,0.65157,0.76475,0.29074,0.71034,0.38039,0.42359,0.22897,0.71093,0.71578,0.32549,0.0004852,0.0004852,0.0004852
28,3627.83,0.64031,0.79275,0.28744,0.55553,0.38356,0.39946,0.21971,0.7052,0.81895,0.30787,0.0004654,0.0004654,0.0004654
29,3755.58,0.63064,0.79679,0.29554,0.61381,0.42791,0.42346,0.23269,0.75514,0.7424,0.38674,0.0004456,0.0004456,0.0004456
30,3884.96,0.62318,0.77892,0.27993,0.58512,0.45985,0.43581,0.25074,0.72454,0.71149,0.3418,0.0004258,0.0004258,0.0004258
31,4015.55,0.63189,0.75442,0.28945,0.52465,0.46732,0.43611,0.24857,0.7297,0.71735,0.32929,0.000406,0.000406,0.000406
32,4143.34,0.626,0.76461,0.27624,0.53211,0.45847,0.44541,0.25083,0.72445,0.74948,0.34275,0.0003862,0.0003862,0.0003862
33,4273.27,0.61399,0.73881,0.27562,0.49681,0.47726,0.44747,0.24064,0.74811,0.73715,0.34653,0.0003664,0.0003664,0.0003664
34,4401.22,0.60222,0.71925,0.26578,0.61677,0.44752,0.45934,0.2605,0.73996,0.65807,0.3414,0.0003466,0.0003466,0.0003466
35,4531.17,0.60987,0.71253,0.26428,0.60743,0.4724,0.50135,0.28093,0.72765,0.6386,0.32426,0.0003268,0.0003268,0.0003268
36,4660.58,0.57181,0.72545,0.26009,0.56366,0.51281,0.48608,0.26908,0.73638,0.68651,0.34793,0.000307,0.000307,0.000307
37,4789.22,0.58864,0.69896,0.25775,0.64448,0.4471,0.4722,0.2622,0.7461,0.66397,0.34488,0.0002872,0.0002872,0.0002872
38,4917.6,0.57521,0.7,0.25102,0.57822,0.44021,0.45275,0.25241,0.7256,0.69071,0.3215,0.0002674,0.0002674,0.0002674
39,5045.37,0.58051,0.67126,0.25027,0.63075,0.45518,0.48328,0.26484,0.75926,0.63018,0.34659,0.0002476,0.0002476,0.0002476
40,5172.7,0.57177,0.67852,0.24388,0.6567,0.46259,0.4875,0.25769,0.76988,0.62378,0.36925,0.0002278,0.0002278,0.0002278
41,5301.12,0.53251,0.6067,0.23998,0.59633,0.50911,0.49829,0.27955,0.71515,0.60999,0.32562,0.000208,0.000208,0.000208
42,5428.57,0.52259,0.584,0.23084,0.65089,0.49978,0.51151,0.28238,0.73943,0.58461,0.34653,0.0001882,0.0001882,0.0001882
43,5558.34,0.50411,0.5732,0.23545,0.66377,0.4815,0.51327,0.29341,0.71353,0.63806,0.3259,0.0001684,0.0001684,0.0001684
44,5694.58,0.49833,0.56566,0.22241,0.6424,0.48034,0.51059,0.28742,0.72912,0.62156,0.3246,0.0001486,0.0001486,0.0001486
