epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0577,1.59547,2.18483,1.67009,0.46159,0.33947,0.32902,0.15979,1.6695,2.53956,1.73107,0.000330383,0.000330383,0.067292
2,75.5615,1.63341,1.91087,1.70546,0.31572,0.3496,0.26676,0.1423,1.86367,3.55153,1.91176,0.000650575,0.000650575,0.0342789
3,111.94,1.64738,1.92087,1.69671,0.42685,0.30587,0.29571,0.12959,1.87459,2.33929,1.92733,0.000957567,0.000957567,0.00125255
4,147.861,1.5925,1.79376,1.66091,0.54028,0.44761,0.42781,0.22316,1.71607,1.85024,1.7348,0.0009406,0.0009406,0.0009406
5,184.33,1.59671,1.72941,1.64536,0.61146,0.45237,0.47866,0.24603,1.715,1.57057,1.7127,0.0009208,0.0009208,0.0009208
6,220.771,1.54418,1.62087,1.60466,0.69702,0.42609,0.47374,0.23516,1.71565,1.47434,1.70118,0.000901,0.000901,0.000901
7,256.754,1.49577,1.55867,1.58988,0.66731,0.45871,0.49515,0.26371,1.65518,1.41598,1.62093,0.0008812,0.0008812,0.0008812
8,293.164,1.45387,1.46516,1.54187,0.72298,0.47091,0.55104,0.2868,1.6744,1.37669,1.62539,0.0008614,0.0008614,0.0008614
9,329.499,1.45612,1.46109,1.54104,0.61726,0.43976,0.49801,0.27029,1.59763,1.43253,1.60672,0.0008416,0.0008416,0.0008416
10,365.48,1.41899,1.37186,1.49641,0.73665,0.49686,0.56587,0.30469,1.542,1.22092,1.55525,0.0008218,0.0008218,0.0008218
11,401.917,1.3786,1.30299,1.47593,0.69462,0.50337,0.52602,0.2906,1.59032,1.26446,1.58347,0.000802,0.000802,0.000802
12,437.914,1.35577,1.25544,1.46857,0.74306,0.5033,0.55131,0.30099,1.59312,1.22345,1.58093,0.0007822,0.0007822,0.0007822
13,473.936,1.32388,1.18957,1.42632,0.66311,0.52762,0.55967,0.3056,1.6063,1.21589,1.57425,0.0007624,0.0007624,0.0007624
14,510.412,1.30577,1.15815,1.41081,0.68952,0.527,0.5675,0.32537,1.52551,1.13981,1.55311,0.0007426,0.0007426,0.0007426
15,546.773,1.30663,1.1395,1.42179,0.79203,0.51242,0.57406,0.32379,1.56994,1.1948,1.5497,0.0007228,0.0007228,0.0007228
16,582.775,1.2806,1.10431,1.39324,0.78862,0.53177,0.59217,0.33002,1.51632,1.10071,1.53417,0.000703,0.000703,0.000703
17,619.237,1.24673,1.06314,1.37329,0.79001,0.49578,0.57008,0.31209,1.59046,1.12135,1.57914,0.0006832,0.0006832,0.0006832
18,655.296,1.24885,1.04136,1.3633,0.83108,0.5091,0.55787,0.30235,1.62883,1.18314,1.56643,0.0006634,0.0006634,0.0006634
19,691.317,1.23491,1.02312,1.36326,0.80157,0.52585,0.57124,0.31984,1.58173,1.12146,1.56193,0.0006436,0.0006436,0.0006436
20,727.352,1.18897,0.97205,1.33034,0.765,0.54743,0.57488,0.3061,1.60228,1.1358,1.58444,0.0006238,0.0006238,0.0006238
21,763.325,1.17457,0.95319,1.30896,0.75119,0.54589,0.58611,0.32709,1.5279,1.06684,1.52538,0.000604,0.000604,0.000604
22,799.315,1.17147,0.92105,1.30075,0.80864,0.52525,0.59065,0.33739,1.53801,1.02916,1.5322,0.0005842,0.0005842,0.0005842
23,835.64,1.13676,0.88729,1.28893,0.75681,0.56143,0.59884,0.35302,1.46708,1.04421,1.50642,0.0005644,0.0005644,0.0005644
24,872.076,1.14173,0.8849,1.28009,0.83496,0.5292,0.59524,0.35069,1.52117,1.04335,1.53405,0.0005446,0.0005446,0.0005446
25,908.014,1.12799,0.8488,1.27921,0.71331,0.56117,0.58797,0.34798,1.51771,1.04454,1.54009,0.0005248,0.0005248,0.0005248
26,943.973,1.09153,0.83029,1.25766,0.7871,0.5612,0.59621,0.33499,1.54766,1.03818,1.5297,0.000505,0.000505,0.000505
27,980.075,1.07934,0.79958,1.25497,0.82454,0.52179,0.58902,0.34793,1.50681,1.05488,1.51416,0.0004852,0.0004852,0.0004852
28,1016.07,1.09804,0.81725,1.25643,0.76341,0.5498,0.5756,0.33376,1.48959,1.01178,1.50996,0.0004654,0.0004654,0.0004654
29,1052.15,1.06441,0.78145,1.23891,0.77117,0.56739,0.59171,0.34871,1.5064,1.06698,1.52342,0.0004456,0.0004456,0.0004456
30,1088.28,1.03447,0.77189,1.22053,0.79263,0.57997,0.61871,0.35399,1.50806,0.9996,1.53477,0.0004258,0.0004258,0.0004258
31,1124.66,1.03929,0.75181,1.21284,0.78294,0.55086,0.59995,0.3446,1.51509,1.01974,1.56031,0.000406,0.000406,0.000406
32,1160.63,1.0156,0.72833,1.20709,0.73595,0.58686,0.6004,0.35821,1.47537,0.98103,1.50647,0.0003862,0.0003862,0.0003862
33,1196.96,1.00371,0.72595,1.19646,0.84874,0.56448,0.59781,0.34732,1.47817,1.03381,1.52149,0.0003664,0.0003664,0.0003664
34,1232.96,0.9914,0.70566,1.18605,0.75347,0.58182,0.58826,0.34374,1.49329,1.03985,1.55855,0.0003466,0.0003466,0.0003466
